game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Columbia@Fordham,11/9/2021,0,Jaden Cooper,17:00,7,1.167,6,3,3,50.0%,0,0,-,-,0,0,1,0,1,0.00,3,1,2,0,4,0.25,1,58.3%,58.3%,6,-,-,-,4,2,2,50.0%,2,1,1,50.0%,0.33,0,0,0,-,0.00,0,0,0,4.4,0.0%,0.0%,0.0%,0.0%,7,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,1,Luke Bolster,15:00,6,2.000,2,2,0,100.0%,2,0,-,-,0,0,0,0,0,0.00,3,1,2,3,1,0.00,3,125.0%,104.2%,3,-,-,-,1,1,0,100.0%,1,1,0,100.0%,0.50,2,1,1,50.0%,1.00,0,0,0,7.3,0.0%,0.0%,0.0%,0.0%,11,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,3,Zavian McLean,30:00,5,0.556,6,1,5,16.7%,0,2,0.00,0.50,1,1,0,0,1,0.00,2,1,1,2,2,0.00,-8,16.7%,34.2%,7,-,-,-,3,1,2,33.3%,3,0,3,0.0%,0.50,3,3,0,100.0%,0.50,1,0,0,0.4,22.2%,11.1%,0.0%,0.0%,7,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,4,Liam Murphy,24:00,13,1.083,10,6,4,60.0%,3,2,1.50,0.50,1,2,0,0,1,0.00,4,1,3,1,1,0.00,-8,65.0%,65.0%,10,-,-,-,5,5,0,100.0%,5,1,4,20.0%,0.50,0,0,0,-,0.00,0,0,0,10.7,16.7%,0.0%,0.0%,0.0%,20,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,11,Josh Odunowo,02:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,4,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
Columbia@Fordham,11/9/2021,12,Cameron Shockley-Okeke,06:00,0,0.000,1,0,1,0.0%,0,0,-,-,0,0,0,0,0,0.00,0,0,0,0,1,0.00,-10,0.0%,0.0%,1,-,-,-,1,0,1,0.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,-1.1,0.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,15,Geronimo Rubio De La Rosa,39:00,16,0.842,14,6,8,42.9%,2,5,0.40,0.00,0,2,0,0,0,0.00,5,0,5,2,2,0.00,-10,57.1%,55.4%,14,-,-,-,5,2,3,40.0%,9,4,5,44.4%,0.64,1,0,1,0.0%,0.07,1,0,0,5.3,26.3%,5.3%,0.0%,0.0%,21,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,20,Robbie Stankard,13:00,5,2.500,2,2,0,100.0%,2,0,-,-,0,0,0,0,0,0.00,1,1,0,1,0,-,-3,125.0%,125.0%,2,-,-,-,1,1,0,100.0%,1,1,0,100.0%,0.50,0,0,0,-,0.00,0,0,0,6.5,0.0%,0.0%,0.0%,0.0%,10,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,24,Ike Nweke,27:00,11,0.688,10,5,5,50.0%,3,3,1.00,0.00,0,1,0,0,0,0.00,5,0,5,3,5,0.00,-14,50.0%,46.8%,12,-,-,-,10,5,5,50.0%,0,0,0,-,0.00,4,1,3,25.0%,0.40,0,0,0,3.4,18.8%,0.0%,0.0%,0.0%,22,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,25,Patrick Harding,20:00,4,0.667,5,2,3,40.0%,1,1,1.00,0.00,0,0,0,0,0,0.00,2,1,1,0,3,0.00,-2,40.0%,40.0%,5,-,-,-,5,2,3,40.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,0.8,16.7%,0.0%,0.0%,0.0%,7,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,35,Noah Robledo,08:00,0,0.000,0,0,0,-,0,1,0.00,0.00,0,0,0,0,0,-,3,1,2,0,0,-,-3,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.3,100.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,,Totals,-,67,0.893,56,27,29,48.2%,13,14,0.93,0.14,2,6,1,0,3,0.00,28,7,21,12,19,0.05,-,55.4%,55.5%,60,-,-,-,35,19,16,54.3%,21,8,13,38.1%,0.38,10,5,5,50.0%,0.18,2,0,0,38.0,18.7%,2.7%,0.0%,0.0%,105,-,-,-,-,-,-,-,-,0.0%
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Marist@Columbia,11/12/2021,0,Jaden Cooper,13:00,3,1.000,2,1,1,50.0%,1,1,1.00,0.00,0,0,0,0,0,0.00,0,0,0,1,2,0.00,2,75.0%,75.0%,2,-,-,-,0,0,0,-,2,1,1,50.0%,1.00,0,0,0,-,0.00,0,0,0,0.9,33.3%,0.0%,0.0%,0.0%,6,-,-,-,-,-,-,-,-,0.0%
Marist@Columbia,11/12/2021,1,Luke Bolster,11:00,0,0.000,1,0,1,0.0%,1,0,-,-,0,0,0,0,0,0.00,0,0,0,0,0,-,-7,0.0%,0.0%,1,-,-,-,1,0,1,0.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,5,-,-,-,-,-,-,-,-,0.0%
Marist@Columbia,11/12/2021,2,Ben Milstein,01:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,0,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.0,-,-,-,-,0,-,-,-,-,-,-,-,-,- 
Marist@Columbia,11/12/2021,3,Zavian McLean,23:00,6,0.667,7,2,5,28.6%,2,0,-,-,1,0,0,0,1,0.00,0,0,0,5,1,0.00,-10,28.6%,32.6%,9,-,-,-,4,2,2,50.0%,3,0,3,0.0%,0.43,5,2,3,40.0%,0.71,1,0,0,2.7,0.0%,11.1%,0.0%,0.0%,11,-,-,-,-,-,-,-,-,0.0%
Marist@Columbia,11/12/2021,4,Liam Murphy,30:00,15,1.000,11,5,6,45.5%,1,2,0.50,0.00,0,2,0,0,0,0.00,4,1,3,3,0,-,0,59.1%,60.9%,12,-,-,-,3,2,1,66.7%,8,3,5,37.5%,0.73,3,2,1,66.7%,0.27,1,0,0,9.2,13.3%,6.7%,0.0%,0.0%,17,-,-,-,-,-,-,-,-,0.0%
Marist@Columbia,11/12/2021,11,Josh Odunowo,21:00,14,1.273,8,5,3,62.5%,1,1,1.00,1.00,1,1,1,0,2,0.00,5,4,1,3,4,0.25,-11,62.5%,68.6%,10,-,-,-,8,5,3,62.5%,0,0,0,-,0.00,5,4,1,80.0%,0.63,1,0,0,12.9,9.1%,9.1%,0.0%,0.0%,17,-,-,-,-,-,-,-,-,0.0%
Marist@Columbia,11/12/2021,12,Cameron Shockley-Okeke,22:00,5,0.833,6,2,4,33.3%,1,0,-,-,1,0,1,0,2,0.00,6,2,4,0,1,1.00,-23,41.7%,41.7%,6,-,-,-,1,1,0,100.0%,5,1,4,20.0%,0.83,0,0,0,-,0.00,0,0,0,6.2,0.0%,0.0%,0.0%,0.0%,8,-,-,-,-,-,-,-,-,0.0%
