game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Columbia@Fordham,11/9/2021,1,Chuba Ohams,31:00,13,0.929,7,4,3,57.1%,3,4,0.75,0.25,1,0,2,0,3,0.00,15,3,12,4,1,2.00,8,57.1%,67.4%,10,-,-,-,7,4,3,57.1%,0,0,0,-,0.00,6,5,1,83.3%,0.86,0,0,0,15.1,28.6%,0.0%,0.0%,0.0%,20,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,3,Darius Quisenberry,36:00,25,1.136,18,8,10,44.4%,2,1,2.00,0.00,0,1,0,0,0,0.00,4,1,3,5,2,0.00,10,61.1%,60.6%,21,-,-,-,6,2,4,33.3%,12,6,6,50.0%,0.67,6,3,3,50.0%,0.33,2,0,0,15.6,4.5%,9.1%,0.0%,0.0%,30,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,4,DJ Gordon,01:00,2,2.000,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,1,0,-,-2,-,113.6%,1,-,-,-,0,0,0,-,0,0,0,-,-,2,2,0,100.0%,-,0,0,0,2.0,0.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,5,Antonio Daye Jr.,33:00,12,0.706,13,4,9,30.8%,4,2,2.00,0.50,1,0,0,0,1,0.00,5,1,4,4,2,0.00,22,34.6%,39.5%,15,-,-,-,6,3,3,50.0%,7,1,6,14.3%,0.54,5,3,2,60.0%,0.38,1,0,0,6.6,11.8%,5.9%,0.0%,0.0%,25,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,10,Kyle Rose,20:00,6,0.750,7,2,5,28.6%,1,1,1.00,0.00,0,1,0,0,0,0.00,4,1,3,0,4,0.00,17,42.9%,42.9%,7,-,-,-,2,0,2,0.0%,5,2,3,40.0%,0.71,0,0,0,-,0.00,0,0,0,1.6,12.5%,0.0%,0.0%,0.0%,9,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,15,Rostyslav Novitskyi,14:00,0,0.000,1,0,1,0.0%,0,0,-,-,0,0,1,0,1,0.00,2,0,2,0,3,0.33,0,0.0%,0.0%,1,-,-,-,0,0,0,-,1,0,1,0.0%,1.00,0,0,0,-,0.00,0,0,0,-0.6,0.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,21,Josh Navarro,16:00,5,0.714,6,2,4,33.3%,0,0,-,-,2,0,0,0,2,0.00,1,1,0,0,1,0.00,-5,41.7%,41.7%,6,-,-,-,1,1,0,100.0%,5,1,4,20.0%,0.83,0,0,0,-,0.00,0,0,0,3.9,0.0%,0.0%,0.0%,0.0%,5,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,24,Antrell Charlton,35:00,12,1.714,7,5,2,71.4%,0,0,-,-,2,0,0,0,2,0.00,0,0,0,0,1,0.00,2,85.7%,85.7%,7,-,-,-,5,3,2,60.0%,2,2,0,100.0%,0.29,0,0,0,-,0.00,0,0,0,10.7,0.0%,0.0%,0.0%,0.0%,12,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,30,Abdou Tsimbila,13:00,2,2.000,1,1,0,100.0%,1,0,-,-,0,0,0,0,0,0.00,3,2,1,0,2,0.00,-1,100.0%,100.0%,1,-,-,-,1,1,0,100.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,3.3,0.0%,0.0%,0.0%,0.0%,5,-,-,-,-,-,-,-,-,0.0%
Columbia@Fordham,11/9/2021,50,Ahmad Harrison,01:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,-1,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Fordham@Manhattan,11/12/2021,1,Chuba Ohams,29:00,17,0.895,10,5,5,50.0%,1,8,0.13,0.13,1,5,1,0,2,0.00,18,4,14,6,4,0.25,-4,50.0%,62.9%,14,-,-,-,10,5,5,50.0%,0,0,0,-,0.00,8,7,1,87.5%,0.80,2,0,0,11.4,42.1%,10.5%,0.0%,0.0%,19,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,3,Darius Quisenberry,39:00,12,0.857,8,5,3,62.5%,1,4,0.25,0.25,1,2,0,0,1,0.00,2,0,2,1,1,0.00,-7,75.0%,75.0%,8,-,-,-,4,3,1,75.0%,4,2,2,50.0%,0.50,0,0,0,-,0.00,0,0,0,6.3,28.6%,0.0%,0.0%,0.0%,15,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,5,Antonio Daye Jr.,37:00,18,0.947,12,6,6,50.0%,3,7,0.43,0.43,3,4,0,0,3,0.00,5,0,5,4,5,0.00,-7,50.0%,59.7%,15,-,-,-,11,6,5,54.5%,1,0,1,0.0%,0.08,7,6,1,85.7%,0.58,0,0,0,9.2,36.8%,0.0%,0.0%,0.0%,27,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,10,Kyle Rose,22:00,0,0.000,4,0,4,0.0%,1,1,1.00,2.00,2,0,1,0,3,0.00,2,1,1,0,2,0.50,2,0.0%,0.0%,4,-,-,-,2,0,2,0.0%,2,0,2,0.0%,0.50,0,0,0,-,0.00,0,0,0,-0.2,25.0%,0.0%,0.0%,0.0%,4,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,15,Rostyslav Novitskyi,12:00,2,0.333,4,1,3,25.0%,0,3,0.00,0.00,0,2,1,0,1,0.00,3,3,0,0,5,0.20,-8,25.0%,25.0%,4,-,-,-,3,1,2,33.3%,1,0,1,0.0%,0.25,0,0,0,-,0.00,0,0,0,-2.6,50.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,21,Josh Navarro,18:00,3,0.500,4,1,3,25.0%,3,0,-,-,1,0,0,0,1,0.00,1,1,0,0,3,0.00,3,37.5%,37.5%,4,-,-,-,0,0,0,-,4,1,3,25.0%,1.00,0,0,0,-,0.00,0,0,0,3.2,0.0%,0.0%,0.0%,0.0%,11,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,24,Antrell Charlton,36:00,8,0.571,10,4,6,40.0%,1,2,0.50,0.50,1,1,0,0,1,0.00,4,0,4,2,4,0.00,-3,40.0%,38.3%,10,-,-,-,7,4,3,57.1%,3,0,3,0.0%,0.30,1,0,1,0.0%,0.10,1,0,0,1.5,14.3%,7.1%,0.0%,0.0%,10,-,-,-,-,-,-,-,-,0.0%
Fordham@Manhattan,11/12/2021,30,Abdou Tsimbila,07:00,0,-,0,0,0,-,0,0,-,-,0,0,1,0,1,-,1,0,1,0,2,0.50,-6,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.2,-,-,-,-,0,-,-,-,-,-,-,-,-,-
